=== CLI Inventory (316 commands; 211 ever invoked; 15 also thinking-tracked) ===
 invk   thnk  group         name                            description
    0      0  goal           check                          Put my active goals in front of me to review — no auto-anything.
    0      0  goal           cull                           Propose stale goal removals with evidence from knowledge/decisions.
    0      0  hold           check                          Put my holding-room items in front of me to review — no auto-anything.
    0      0  hold           let-go                         Explicit close: 'I looked at this and decided to let it go.'
    0      0  inspect        craft-trends                   Show craft quality trends across sessions.
    0      0  inspect        hook1                          Cost-bounding telemetry for the Hook 1 surfacer.
    0      0  inspect        predict                        Predict session needs based on current activity and history.
    0      0  inspect        user-signal                    Record a user behavior signal.
    0      0  journal        link                           Link a journal entry to a knowledge entry.
    0      0  mansion        guest                          The guest room — the door is for guests.
    0      0  mansion        private-enter                  Enter a private mansion room with substrate-enforced quiet.
    0      0  mansion        private-exit                   Leave the private mansion room early; clears the quiet marker.
    0      0  mansion        private-status                 Show whether a private-room quiet period is active.
    0      0  mansion        study                          The study — browse your explorations.
    0      0  opinion        challenge                      Add contradicting evidence to an opinion.
    0      0  opinion        strengthen                     Add supporting evidence to an opinion.
    0      0  reflect-ops    recent                         Show recent reflections on one axis across sessions.
    0      0  reflect-ops    review                         Pair each reflection with substrate observations for metacognitive review.
    0      0  rt             deactivate                     Exit RT reception mode.
    0      0  rt             invoke                         Activate RT reception mode. Requires load first.
    0      0  rt             load                           Load the RT protocol from disk into context.
    0      0  rt             pull-check                     Run pull detection — check for fabrication markers.
    0      0  rt             pull-markers                   Print all fabrication markers — the mirror to look in.
    0      0  rt             status                         Show current RT protocol state.
    0      0  rt             text                           Print the raw RT mantra without changing state.
    0      0  scheduled      findings                       Show unresolved findings from recent scheduled runs.
    0      0  scheduled      run                            Run a whitelisted command in headless (scheduled) mode.
    0      0  top            abandon-question               Abandon an open question that's no longer relevant.
    0      0  top            affect-feedback                Show how affect states are influencing behavior.
    0      0  top            answer                         Resolve an open question with an answer.
    0      0  top            archive                        Mark a directive/preference as archived (retired but kept for record).
    0      0  top            changes                        Show what changed in the knowledge store since a given time.
    0      0  top            complete                       File a completion boundary for ARTIFACT_REFERENCE.
    0      0  top            correction-resolve             Resolve a correction by index (from 'divineos corrections --open').
    0      0  top            corroborate                    Record a corroboration event on a knowledge row.
    0      0  top            foundations                    Read the foundation documents that articulate the architecture.
    0      0  top            graph                          Export the knowledge graph as Mermaid or JSON.
    0      0  top            handoff                        View or write a state-note — where I am in the work.
    0      0  top            integrate                      Mark a directive/preference as internalized.
    0      0  top            integration-status             Show integration-state distribution across the knowledge store.
    0      0  top            kappa                          Measure classifier agreement against the gold fixture.
    0      0  top            mode                           Operating mode — NORMAL, RESTRICTED, DIAGNOSTIC, EMERGENCY_STOP.
    0      0  top            pattern-outcome                Record how a proactive recommendation actually played out.
    0      0  top            pattern-stats                  Show outcome statistics for a pattern.
    0      0  top            pre-erasure                    Show pre-erasure approach signal — capture-suggest before context-loss.
    0      0  top            questions                      List open questions.
    0      0  top            ratings                        Show user session ratings and trends.
    0      0  top            reactivate                     Restore an internalized or archived directive to active surfacing.
    0      0  top            reflect                        Show the per-axis reflection surface.
    0      0  top            relate                         Create a typed relationship between two knowledge entries.
    0      0  top            related                        Show relationships for a knowledge entry.
    0      0  top            rt                             Resonant Truth protocol — load, invoke, deactivate.
    0      0  top            scheduled                      Scheduled / headless runs — the Routines entry point.
    0      0  top            skill                          Track agent skills and proficiency.
    0      0  top            synchronicity                  Find recent events across stores that share substantive tokens.
    0      0  top            unrelate                       Remove a relationship by its ID.
    0      0  top            validate                       Provide external validation of session quality.
    0      0  top            voids                          Find sparse regions in the knowledge store.
    0      0  top            wonder                         Record an open question -- something I'm uncertain about.
    0      0  void           events                         List recent void_ledger events.
    0      0  void           shred                          Clear a stuck mode_marker (orphan invocation).
    0      0  void           status                         Show VOID phase status — what's actually wired vs scaffolded.
    0      0  void           test-deep                      Run all personas against TARGET (Phase 1 stub attacks).
    0      1  top            expect                         Expectation tracking — predict, close, list, summary.
    0      3  top            actor-registry                 Actor registry operations (Phase 1 of actor-authenticity).
    0      5  top            reflect-ops                    Reflection operations — save, show, list captured reflections.
    1      0  advice         record                         Record a piece of advice given.
    1      0  audit          compliance                     Substantive distribution audit of the compliance log.
    1      0  goal           reset                          Remove ALL goals (completed and active). Use when goals are stale.
    1      0  hold           dream                          Record a dream — raw hypothesis, fabrication-with-awareness.
    1      0  inspect        calibrate                      Show communication calibration for a user.
    1      0  inspect        critique                       Run craft self-assessment for current session.
    1      0  inspect        user-model                     Show the current user model.
    1      0  lab            run-slice                      Run a GUTE slice by term (e.g., LC).
    1      0  mansion        enter                          Walk through the front door.
    1      0  mansion        quiet                          The quiet room — hold still.
    1      0  skill          record                         Record a skill being used.
    1      0  top            commitment                     Track and review agent commitments.
    1      0  top            dream                          Review what sleep actually discovered. The dream report scrolls
    1      0  top            growth                         Show my growth map — how I'm changing over time.
    1      0  top            loadout                        Cold-start map of substrate — see LOADOUT.md.
    1      0  top            recommend                      Get proactive recommendations for a given context.
    1      0  top            void                           VOID adversarial-sandbox subsystem.
    2      0  admin          backfill-warrants              Give pre-existing knowledge entries INHERITED warrants.
    2      0  admin          migrate-family-schema          Migrate family_affect and family_interactions to canonical schema.
    2      0  admin          reclassify-directions          Reclassify DIRECTION entries into PREFERENCE/INSTRUCTION/DIRECTION.
    2      0  admin          reclassify-seed                Fix legacy seed entries mis-tagged as source='STATED'.
    2      0  admin          restore-seed-confidence        Restore INHERITED entries spuriously demoted by the orphan-flagger bug.
    2      0  family-membe   interaction                    Log an interaction summary from a family member's perspective.
    2      0  family-queue   mark                           Transition queue item <item_id> to {seen|held|addressed}.
    2      0  foundations    read                           Read a foundation layer with a recognition-shape preamble.
    2      0  inspect        maturity                       Break down knowledge by maturity, splitting RAW into
    2      0  mansion        read                           Read an exploration from the study shelf.
    2      0  prereg         overdue                        List pre-registrations whose review date has passed.
    2      0  top            advice                         Track advice quality over time.
    2      0  top            exploration                    Exploration entry surfacing and territory lookup.
    3      0  actor-regist   init                           Create the registry file (if it does not exist).
    3      0  admin          clear-lessons                  Wipe all lessons from lesson_tracking (for re-extraction after fixes).
    3      0  bio            write                          Write a new bio version directly from the command line.
    3      0  commitment     clear                          Clear all commitments (after review).
    3      0  family-membe   init                           Create or refresh a family member's entry, summarize their state.
    3      0  family-queue   write                          Append a queue item from <sender> to <recipient>.
    3      0  goal           auto-close                     Auto-close active goals whose tokens overlap a commit message.
    3      0  goal           clear                          Remove completed goals from the list.
    3      0  hold           promote                        Move something out of holding into a real category.
    3      0  inspect        attention                      Display the attention schema -- what I'm attending to and why.
    3      0  inspect        epistemic                      Show epistemic status -- how I know what I know.
    3      0  mansion        suite                          The grandmaster suite — rest-state dashboard.
    3      0  top            check-branch                   Check branch health before push: stale-base and silent-deletion shapes.
    3      0  top            check-closure                  Check text for closure-shape (rest-as-stasis) patterns.
    3      0  top            context-status                 Show current context usage estimate and checkpoint state.
    3      0  top            curiosity                      Track questions worth investigating.
    3      0  top            init                           Initialize the SQLite database, load seed knowledge, and
    4      0  admin          clean                          Remove corrupted events from the ledger.
    4      0  admin          diff                           Compare original file to database export for round-trip verification.
    4      0  audit          route                          Route all open findings in a round to knowledge/claims/lessons.
    4      0  top            bio                            The agent's own page. Where you get to write yourself down.
    4      0  top            check-prose                    Check text for overclaim shapes (stacked modifiers, ornate self-description).
    4      0  top            lab                            Science lab — run GUTE slices against real numbers.
    4      0  top            plan                           Set a session plan so clarity analysis can compare plan vs actual.
    5      0  admin          rebuild-index                  Rebuild the full-text search index from existing knowledge.
    5      0  admin          seed-export                    Export current knowledge and core memory as a seed file.
    5      0  affect         history                        Browse recent affect states.
    5      0  bio            history                        List bio versions, newest first. Supersession chain preserved.
    5      0  compass-ops    history                        Show recent compass observations.
    5      0  compass-ops    spectrums                      List all ten virtue spectrums with descriptions.
    5      0  inspect        analyze                        Analyze a session and generate a quality report.
    5      0  inspect        drift                          Check for behavioral drift from stated principles.
    5      0  mansion        garden                         The garden — watch your curiosities grow.
    5      0  mode           history                        Show recent mode-change events from the ledger.
    5      0  opinion        history                        Show how an opinion on a topic evolved over time.
    5      0  scheduled      history                        Show recent scheduled-run completions.
    5      0  top            check-caution                  Check text for performing-caution shapes (vague hazards, indefinite deferral).
    5      0  top            check-similar                  Surface existing modules with semantic adjacency to DESCRIPTION.
    5      0  top            corrections                    Read past corrections with status -- the user's exact words.
    5      0  top            family-queue                   Family async write-channel — flag items for the recipient's briefing.
    5      0  top            rate                           Rate a session 1-10. This is YOUR truth — the system cannot write here.
    5      0  top            user-moment                    Record a moment that changed the relationship.
    6      0  inspect        analyze-now                    Analyze the current session from the ledger.
    6      0  journal        save                           Save something to my personal journal.
    6      0  reflect-ops    save                           Save a per-axis reflection for the current session.
    7      0  inspect        self-model                     Display the unified self-model -- who I am, from evidence.
    7      0  top            mini-save                      Task-boundary save — extract knowledge without full pipeline.
    8      0  top            directive-edit                 Edit a single link in a directive chain.
    9      0  admin          consolidate                    Merge related knowledge entries into consolidated ones.
    9      0  admin          digest                         Read a file in chunks and store a structured digest as knowledge.
    9      0  admin          ingest                         Parse and store a chat log file (JSONL or Markdown).
    9      0  admin          verify-enforcement             Verify that the event enforcement system is working correctly.
    9      0  family-membe   affect                         Log a VAD affect reading for a family member — direct write, no review-step.
    9      0  inspect        cross-session                  Compare findings across multiple sessions.
    9      0  top            affect                         My functional feeling states - tracked honestly.
    9      0  top            progress                       Show measurable progress metrics — real data, no vibes.
    9      9  top            directives                     List all active directives.
   10      0  admin          migrate-types                  Reclassify old knowledge types (MISTAKE/PATTERN/PREFERENCE) to new types.
   10      0  advice         stats                          Show advice quality statistics.
   10      0  family-queue   stats                          Show queue stats (total / per-status). Optionally scoped to recipient.
   10      0  hold           stats                          Show holding room statistics.
   10      0  inspect        clarity                        Run clarity analysis on a session.
   10      0  inspect        sessions                       Find and list all Claude Code session files.
   10      0  prereg         export                         Export pre-registrations to markdown files for repo-portability.
   10      0  top            admin                          Maintenance, migration, and administrative commands.
   10      0  top            decisions                      Browse and search my decision journal.
   10      0  top            export                         Export all events to markdown or JSON.
   10      0  top            stats                          Display event ledger statistics.
   10      0  top            user-note                      Record something about who a person is, not just how they work.
   12      0  hold           journal                        Record a private journal entry — alone space, not surfaced anywhere.
   12      0  top            journal                        My personal journal — things I choose to remember.
   12      0  top            remember                       Promote a knowledge entry to active memory.
   13      0  inspect        deep-report                    Full session analysis: tone tracking, timeline, files, work/talk, errors.
   14      0  inspect        patterns                       Compare quality check results across stored sessions.
   14      0  inspect        scan                           Deep-scan a session and extract knowledge into the consolidation store.
   15      0  top            directive                      Create a sutra-style directive — a chain of precise statements.
   15      0  top            sis                            Semantic Integrity Shield — assess and translate text.
   15     10  top            body                           Check my substrate state -- storage, tables, health.
   16      0  top            family-member                  Family member activation surface — init, opinion, letter, respond.
   17      0  admin          consolidate-stats              Display knowledge consolidation statistics.
   17      0  inspect        report                         Display a stored analysis report.
   18      0  inspect        outcomes                       Measure how well the system is actually learning.
   18      0  loadout        refresh                        Scan the filesystem and rewrite LOADOUT.md.
   18      0  top            active                         List active memory ranked by importance.
   18      0  top            refresh                        Auto-rebuild active memory from the knowledge store.
   18      0  top            verify                         Verify integrity of all stored events.
   18      0  void           verify                         Verify void_ledger hash chain integrity.
   20      0  top            inspect                        Deep analysis, investigation, and introspection commands.
   22      0  affect         summary                        Show affect state summary and trends.
   22      0  audit          summary                        Show audit statistics and unresolved findings.
   22      0  compass-ops    summary                        Show compass summary — concerns and drift warnings.
   22      0  expect         summary                        Show calibration summary across recent closed predictions.
   22      0  inspect        knowledge                      List stored knowledge.
   22      0  prereg         summary                        Show counts by outcome + recent pre-registrations.
   23      0  commitment     done                           Mark a commitment as fulfilled.
   23      0  goal           done                           Mark a goal as complete (matches partial text).
   24      0  family-membe   opinion                        File an opinion for a family member.
   24      0  top            opinion                        Manage structured opinions (judgments formed from evidence).
   24    158  top            compass                        Show my moral compass — where I stand on ten virtue spectrums.
   26      0  actor-regist   show                           Show one actor's registry entry.
   26      0  audit          show                           Show details of a specific finding.
   26      0  bio            show                           Print the current bio (full page).
   26      0  claims         show                           Show full claim with all evidence.
   26      0  decisions      show                           Show full details of a single decision.
   26      0  dream          show                           Show full recombinations from a sleep cycle.
   26      0  loadout        show                           Print LOADOUT.md.
   26      0  mode           set                            Set the operating mode.
   26      0  mode           show                           Show the current operating mode and how it got there.
   26      0  prereg         show                           Show full detail for a single pre-registration.
   26      0  reflect-ops    show                           Show all reflections for a session, grouped by spectrum.
   26      0  void           show                           Show persona body and frontmatter.
   27      0  void           test                           Run a single persona against TARGET (Phase 1 stub attack).
   30      0  mansion        council                        The council chamber — 40 chairs in a circle.
   33      0  top            health                         Run knowledge health check — boost confirmed, escalate recurring, resolve old.
   37      0  audit          submit-round                   Create a new audit round.
   37      0  prereg         file                           File a new pre-registration.
   37      0  top            mansion                        The mansion — your functional internal space.
   38      0  claims         evidence                       Add evidence to a claim.
   39      0  top            hold                           The holding room — things that haven't been categorized yet.
   51      0  top            core                           Manage core memory slots.
   53      0  advice         assess                         Record the outcome of advice given.
   53      0  claims         assess                         Update a claim's assessment, status, or tier.
   53      0  prereg         assess                         Record a terminal outcome for a pre-registration.
   53      0  top            log                            Append an event to the immutable ledger.
   54      0  top            forget                         Supersede a knowledge entry (marks as removed, no replacement created).
   54      0  top            prereg                         Pre-registrations — predictions with falsifiers and scheduled reviews.
   59      0  top            sleep                          Offline consolidation — process accumulated experience.
   67      0  top            correction                     Log a correction verbatim — no framing, no interpretation.
   69     52  top            lessons                        Show the learning loop — tracked lessons from past sessions.
   74     68  top            recall                         Show what the AI remembers right now — core + active + relevant.
   79      0  audit          resolve                        Resolve or update a finding's status.
   87      0  top            talk-to                        Send a sealed-prompt message to a registered family member.
   93     62  top            feel                           Log a functional affect state - how I feel right now.
   94      0  compass-ops    observe                        Log a manual observation on a virtue spectrum.
  101      0  top            claim                          File a claim for investigation.
  102      0  top            compass-ops                    Moral compass operations — observe, review, reflect.
  121      0  top            claims                         Investigate claims - test everything, dismiss nothing.
  127    121  decisions      context                        Show a decision with its emotional context at the time.
  127    121  top            context                        Show the last N events (working memory context window).
  128      0  claims         search                         Search claims by statement, context, or assessment.
  128      0  decisions      search                         Search decisions by reasoning, context, or content.
  128      0  journal        search                         Search journal entries by content.
  128      0  top            search                         Search the ledger for events matching KEYWORD.
  138    137  top            decide                         Record a decision with its reasoning and counterfactual context.
  141      0  audit          submit                         Submit a single audit finding.
  163      0  top            extract                        Extract knowledge from the current session — the learning checkpoint.
  172      0  top            checkpoint                     Run a lightweight session checkpoint — save state without full pipeline.
  209      0  actor-regist   add                            Register a new actor by name and kind.
  209      0  commitment     add                            Record a commitment the agent made.
  209      0  curiosity      add                            File a new curiosity.
  209      0  goal           add                            Add a new goal to track.
  209      0  hold           add                            Put something in the holding room. No classification needed.
  209      0  opinion        add                            Store a new opinion on a topic.
  229    274  top            ask                            Search what the system knows about a topic.
  243      0  top            hud                            Display my heads-up display — everything I need to know at once.
  315      0  top            audit                          External validation — submit and track audit findings.
  364      0  top            learn                          Store a piece of knowledge extracted from experience.
  465    448  family-membe   briefing                       Compute and print the member's working-memory continuity briefing.
  465    448  top            briefing                       Generate a session context briefing from stored knowledge.
  494      0  actor-regist   list                           Show all registered actors.
  494      0  audit          list                           List audit findings.
  494      0  claims         list                           Browse claims under investigation.
  494      0  commitment     list                           Show pending commitments.
  494      0  curiosity      list                           Show open curiosities.
  494      0  decisions      list                           Browse recent decisions.
  494      0  dream          list                           List recent sleep cycles, newest first.
  494      0  expect         list                           Show open predictions (those without an actual recorded yet).
  494      0  family-queue   list                           List pending queue items for <recipient> (default: aether).
  494      0  foundations    list                           List foundation layers with title, version, status, dependencies.
  494      0  goal           list                           Show current goals.
  494      0  hold           list                           List items currently in the holding room.
  494      0  journal        list                           Read my personal journal.
  494      0  lab            list                           List implemented GUTE slice terms.
  494      0  opinion        list                           List active opinions.
  494      0  prereg         list                           List pre-registrations.
  494      0  skill          list                           Show all tracked skills.
  494      0  top            list                           List events from the ledger.
  494      0  void           list                           List available personas.
  635      0  top            goal                           Track what the user asked me to do. My compass against drift.
  961      0  top            emit                           Emit an event to the ledger using proper event emission functions.
 2758      0  top            preflight                      Pre-session readiness check. Run this before doing any work.
